"Productos por proveedor"
"Proveedor","descripcion","cantidad","Precio coste","Total coste","pvp","total pvp",
"Suerte Ampanera C.B.","BIFIDUS de cabra -Suerte Ampanera- 430 ml","19,00","1,97","37,43","3,15","59,76",
"Suerte Ampanera C.B.","Cuna de queso fresco de oveja-Suerte Ampanera- 200 gr","17,00","3,10","52,70","4,65","79,05",
"Suerte Ampanera C.B.","Cuna de queso semicurado de oveja-Suerte Ampanera- 200 gr","22,00","3,98","87,56","5,99","131,06",
"Suerte Ampanera C.B.","Cuna de queso tierno de oveja-Suerte Ampanera- 200 gr","24,00","3,36","80,64","5,05","120,85",
"Suerte Ampanera C.B.","KEFIR de cabra -Suerte Ampanera- 430 ml","36,00","2,04","73,44","3,25","116,88",
"Suerte Ampanera C.B.","Queso FRESCO de cabra- Suerte Ampanera -Suerte Ampanera- 450 gr","31,50","4,62","145,53","6,95","217,01",
"Suerte Ampanera C.B.","Queso MADURADO DE CABRA - Suerte Ampanera - 450 gr","19,00","8,44","160,36","12,34","231,76",
"Suerte Ampanera C.B.","Queso MOHO BLANCO SEMICURADO de cabra -Suerte Ampanera-  450 gr","38,00","7,37","280,06","11,10","413,04",
"Suerte Ampanera C.B.","Yogur DESNATADO de cabra -Suerte Ampanera- 430 ml","16,00","1,97","31,52","3,15","49,07",
"Suerte Ampanera C.B.","Yogur NATURAL de cabra -Suerte Ampanera-  430 ml","21,00","1,97","41,37","3,15","65,29",
,,,,"Total:990,61",,"Total:1 483,77",
"TERRA I XUFA SL","Chufa 500gr - Terra i Xufa -","3,00","3,00","9,00","5,20","15,60",
"TERRA I XUFA SL","Horchata artesana concentrada con azucar de cana-0,5 L-Terra I Xufa","3,00","5,24","15,72","8,35","24,88",
"TERRA I XUFA SL","Horchata artesana concentrada sin sacarosa-0.5 L-Terra I Xufa","9,00","5,24","47,16","8,35","74,56",
"TERRA I XUFA SL","Horchata de Chufa UHT sin Azucar-1 L-Terra I Xufa","7,00","1,99","13,93","3,15","21,89",
"TERRA I XUFA SL","Horchata UHT-1 L-Terra I Xufa","2,00","1,99","3,98","3,15","6,30",
,,,,"Total:89,79",,"Total:143,23",
"Turrones La Colmena , S.L","Turron Guirlache con Sesamo- La Colmena - 200gr","1,00","4,55","4,55","7,25","6,74",
,,,,"Total:4,55",,"Total:6,74",
"Valle del Taibilla - Agricola y Forestal del Nerpio SCCM","Mermelada Albaricoque Sirope Agave- Valle del Taibilla- 260 gr","2,00","2,21","4,42","3,52","6,86",
"Valle del Taibilla - Agricola y Forestal del Nerpio SCCM","Mermelada Arandanos Azucar de Cana-Valle del Taibilla- 330g","7,00","2,38","16,66","3,80","26,60",
"Valle del Taibilla - Agricola y Forestal del Nerpio SCCM","Mermelada Arandanos Sirope de Agave - Valle del Taibilla - 260 gr","9,00","2,38","21,42","3,52","31,68",
