"Products list"
"ref","description","Base imp.","IVA","Total",
"AYVRINC0009","Aceite de Girasol-Rincon del Segura- 750ml","4.41","10.00","4.85",
"AYVVIDE0008","Aceite de oliva virgen extra- Tierra sana- garrafa 3 litros","17.29","10.00","19.02",
"AYVYUCA0001","Vinagre Balsamico - Yuca- 50 cl","3.64","10.00","4.00",
"AYVYUCA0002","Vinagre de Sidra-Yuca- 50 cl","2.27","10.00","2.50",
"AYVYUCA0003","Vinagre de Vino-Yuca- 50 cl","1.73","10.00","1.90",
"AYVYUCA0004","Vinagre de Sidra-Yuca- 25cl","1.64","10.00","1.80",
"AYVYUCA0005","Vinagre de Vino-Yuca-25cl","1.45","10.00","1.60",
"AYVYUCA0006","Vinagre Balsamico -Yuca-25 cl","2.32","10.00","2.55",
"BANBROT0001","Bandeja Hierba de Trigo mitad de ciclo-Lilliput","4.90","4.00","5.10",
"BANBROT0002","Bandeja Hierba de Espelta mitad de ciclo-Lilliput","5.72","4.00","5.95",
"BANBROT0003","Bandeja 5 brotes MIX-Lilliput","9.18","4.00","9.55",
"BANBROT0004","Bandeja Germinacion grande- Lilliput- 20x12x3 cm","2.48","21.00","3.00",
"BIOGCAN0001","Canela- Biogran- Sobre 150 gr","5.91","10.00","6.50",
"BIOGCAN0099","Postre Soja con Vainilla Sojade 530gr","2.23","10.00","2.45",
"BIOGCHL0001","Chrorella- Biogran- Sobre 200 gr","15.82","10.00","17.40",
"BIOGR0099","Samosa hindu Biogra","3.36","10.00","3.70",
"BIOGSPI0001","Spirulina- Biogran- sobre 200 gr","11.82","10.00","13.00",
"BYGBIOG0023","Paneton ANTIGUO-Biogredos - 500 gr","5.56","10.00","6.12",
"BYGBIOG0024","Paneton con lagrimas de chocolate ANTIGUO-Biogredos - 450 gr","5.85","10.00","6.43",
"BYGBIOG0025","Suizo de pasas y avellanas -Biogredos - 180 gr","1.86","10.00","2.05",
"BYRCOLO0002","Pulsera artesanal- Bolivia","3.84","10.00","4.22",
"BYRTOÑA0001","Bolsa de tela y colores","4.89","10.00","5.38",
