"Productos por proveedor"
"Proveedor","descripcion","cantidad","Precio coste","Total coste","pvp","total pvp",
"Panaderia Rincon del Segura","Harina integral de trigo sarraceno sin gluten- Rincon del Segura -1 kilo","2,00","2,07","4,14","5,40","10,80",
"Panaderia Rincon del Segura","Harina integral Garbanzo - Rincon Segura- 1 kilo","6,00","1,82","10,91","4,65","27,90",
"Panaderia Rincon del Segura","Lenteja castellana - Rincon del Segura - kilo","1,00","1,92","1,92","4,10","4,10",
"Panaderia Rincon del Segura","Pipas de Girasol peladas-Rincon Segura - 250 gr","9,00","0,55","4,91","1,16","10,15",
"Panaderia Rincon del Segura","Trigo Sarraceno en grano - Rincon del Segura - 1 kg","4,00","1,92","7,69","4,30","17,40",
,,,,"Total:227,64",,"Total:402,80",
"Patricia Carrio San Martin -PANDOMAR","Atun al natural- PANDOMAR- 120 gr","4,00","1,57","6,28","2,20","8,80",
"Patricia Carrio San Martin -PANDOMAR","Atun claro en aceite de oliva- PANDOMAR- 120 gr","11,00","2,06","22,66","2,95","32,45",
"Patricia Carrio San Martin -PANDOMAR","Atun en escabeche Pandomar-120gr","10,00","1,92","19,20","2,70","27,00",
"Patricia Carrio San Martin -PANDOMAR","Ensalada de vegetales con atun Pandomar-250 gr","4,00","2,05","8,20","2,85","11,40",
"Patricia Carrio San Martin -PANDOMAR","Ensalada de vegetales y mejillones-Pandomar- 250gr","4,00","2,38","9,52","3,15","12,60",
"Patricia Carrio San Martin -PANDOMAR","Filete de caballa en aceite de oliva - Pandomar - 220 gr","4,00","3,82","15,28","5,15","20,60",
"Patricia Carrio San Martin -PANDOMAR","Filetes de anchoa en aceite de oliva -PANDOMAR- 50 gr","10,00","2,48","24,80","3,50","35,00",
"Patricia Carrio San Martin -PANDOMAR","Filetes de caballa en aceite de oliva-PANDOMAR- 120 gr","14,00","1,86","26,04","2,55","35,70",
"Patricia Carrio San Martin -PANDOMAR","Filetes de caballa en salsa de mostaza Dijon -PANDOMAR- 120 gr","2,00","1,86","3,72","2,55","5,10",
"Patricia Carrio San Martin -PANDOMAR","Filetes de caballa en salsa de tomate -PANDOMAR- 120 gr","1,00","1,86","1,86","2,70","2,70",
"Patricia Carrio San Martin -PANDOMAR","Filetes de caballa en salsa picante -PANDOMAR- 120 gr","1,00","1,86","1,86","2,55","2,55",
"Patricia Carrio San Martin -PANDOMAR","Filetes de ventresca -PANDOMAR- 120 gr","1,00","3,57","3,57","5,15","5,15",
"Patricia Carrio San Martin -PANDOMAR","Lomitos de bonito (atun blanco) en aceite de oliva -PANDOMAR- 220 gr","2,00","5,10","10,20","7,25","14,50",
"Patricia Carrio San Martin -PANDOMAR","Lomos de atun claro en su propio jugo - Pandomar - 220gr","1,00","3,96","3,96","5,65","5,65",
"Patricia Carrio San Martin -PANDOMAR","Mejillon en escabeche -PANDOMAR- 120 gr","16,00","2,49","39,84","3,40","54,40",
"Patricia Carrio San Martin -PANDOMAR","Pate de algas Pandomar 125 gr","2,00","1,96","3,92","2,90","5,80",
